target_id	subset	fold	source_group_id	source_video_path	clip_start_sec	clip_end_sec	tier	prior_rows	selection_hash	title
c144	pilot	6	mlXw2lyptuE	data/frames/video_c144.mp4			A級	6556	48abcf5c1ec9802dd20d5f79c445a79a8479f3c4d1a813aaf709c7b9c855090a	【A級・8ブロック】light vs Neese 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c15	reserve		JbKPscv0njs	data/frames/video_c15.mp4			チャレンジャー	7718	babe4dd06451cb08cf346ed4cfc9960da2c05b432781bc0462c9d6527c8af032	【チャレンジャー・Aブロック】live vs やまだ 30先(解説:なしー)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c16	pilot	2	qpyaqOUkl1U	data/frames/video_c16.mp4			チャレンジャー	6427	5b43dcfbb34e9a85b984e368dbc1f919ae416d5d51cc3ecd1c375b764d87d41d	【チャレンジャー・Bブロック】のらすけ vs ヨダソウマ 30先(解説:reoru)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c17	reserve		7wehbuHr74U	data/frames/video_c17.mp4			チャレンジャー	6122	9ea7c14d9f305447362adb8d01b68dff66b8e747db28c4dff8a2e6863bca2dbd	【チャレンジャー・Bブロック】ぬえ vs ともくん 30先(解説:こんけあ)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c18	pilot	5	sOkUhL3cdHM	data/frames/video_c18.mp4			チャレンジャー	7329	0ee3f8a36b3990c0a584e8266b6affcf34940dbd570d312225dfbd8ab9186d9a	【チャレンジャー・Aブロック】かき vs やまだ 30先(解説:ユニ)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c19	reserve		q5Kz8GzF3kQ	data/frames/video_c19.mp4			チャレンジャー	5619	ab384cc7950dc733c2e6ca3530ceef1b28abfec7a5df5a8eca06dba94982ac50	【チャレンジャー・Aブロック】live vs ゆがるむ 30先(解説:reoru)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c2	pilot	6	Lw6Z8Nzguo4	data/frames/video_c2.mp4			チャレンジャー	7534	6d5edac72cf870622ca9ae0370ec5bf40ab029b7536be9e9047be955784d88be	
c20	pilot	1	LzZUb8JnECE	data/frames/video_c20.mp4			チャレンジャー	6431	27af2bf930fe0dda445826d073f7be0a74de7c0dcfdb96657fdbbe5d2495a24d	【チャレンジャー・Bブロック】SAKI vs ヨダソウマ 30先(解説:スラさん)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c21	reserve		mAUBFZANAZM	data/frames/video_c21.mp4			チャレンジャー	7865	b6d46695b9b64c64596ac8d786f252f595dff3dfcf0712fc6c8def5ec601225e	【チャレンジャー・Aブロック】Shiyota vs ゆがるむ 30先(解説:ようかん)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c22	reserve		l2yAlnzMIDo	data/frames/video_c22.mp4			チャレンジャー	8851	c846f5a8f15cc18993cf7e16393cd6806ad2c989b353a101447c798de2cb902f	【チャレンジャー・Bブロック】ともくん vs ゆうき 30先(解説:ヨダソウマ)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c23	pilot	5	I8kNracPWCA	data/frames/video_c23.mp4			チャレンジャー	7773	6b3ae3191a7675f2ee898155cd4ff579822a556341db576c7251c002a4500498	【チャレンジャー・Aブロック】delta vs やまだ 30先(解説:ALF)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c24	pilot	1	GJMvphfqs6U	data/frames/video_c24.mp4			チャレンジャー	6554	33bcf5e51fb2592341f29270409e137b810c09299478fddb7ad6a7ffba9a7372	【チャレンジャー・Aブロック】Shiyota vs live 30先(解説:こんけあ)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c25	reserve		Ei_Uu8B8KE8	data/frames/video_c25.mp4			チャレンジャー	6998	f8ae7a593835bc5a6d4f94d278f39607a38464b37f44b45a6308ec277fc435b7	【チャレンジャー・Bブロック】ぬえ vs ヨダソウマ 30先(解説:shocole)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c26	reserve		FW5FWAP8nQ4	data/frames/video_c26.mp4			チャレンジャー	8004	e5e8b6d6d5493a104a0264343bdd139ad55fd2bfb506ae87671a9f3eeb2df903	【チャレンジャー・Bブロック】SAKI vs のらすけ 30先(解説:ようかん)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c27	reserve		LNsVtiZHalo	data/frames/video_c27.mp4			チャレンジャー	8962	dbda674cb3d889f0294cef4b4e7ca9f1eaaf4c573add281011216b895378c583	【チャレンジャー・Bブロック】ぬえ vs ゆうき 30先(解説:ALF)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c28	pilot	4	VOH8TuaUIf0	data/frames/video_c28.mp4			チャレンジャー	5774	78039bec2f4803a0630d882d035b56a29e777abbb82a9101a3fe742480629f65	【チャレンジャー・Bブロック】SAKI vs ともくん 30先(解説:やまたけプロ)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c29	reserve		k-k2zImnp8U	data/frames/video_c29.mp4			チャレンジャー	5994	c8b6b8996c00859c8e51b640cb9fb6167de07e9f56e6e7834a739f210182b759	【チャレンジャー・Aブロック】delta vs ゆがるむ 30先(解説:スラさん)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c3	reserve		fIIDFPCD2w0	data/frames/video_c3.mp4			チャレンジャー	7914	f94c481dc8547bc71ac23cc5cf4cfaac584fdb47a06f37a8afcc9cab49e1e31b	
c30	reserve		X9uQ6eZy8is	data/frames/video_c30.mp4			チャレンジャー	9520	8817eff2a2ecf111cbece76e8bde8bf796200a7712d29f7f535c260de38c2f3a	【チャレンジャー・Aブロック】Shiyota vs delta 30先(解説:ようかん)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c31	pilot	2	80W5JXVxM7U	data/frames/video_c31.mp4			チャレンジャー	6783	48c9a2a6a502028a21da7e06312513749697f8a5fd8e4374eb004c308d741bd0	【チャレンジャー・Aブロック】live vs かき 30先(解説:fron)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c32	pilot	3	3ImrF1TrjIo	data/frames/video_c32.mp4			チャレンジャー	6214	35359d6a2f50911cdfa017826bc89663fb36902bdf7cb90717550f07a2d283de	【チャレンジャー・Aブロック】live vs delta 30先(解説:なしー)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c33	pilot	3	hboIZroeCbc	data/frames/video_c33.mp4			チャレンジャー	7983	1d8e46803de2dbecd9c5440e1808f8136de7f87c9fa24a1a92a0ca986a371d82	【チャレンジャー・Bブロック】のらすけ vs ともくん 30先(解説:ヨダソウマ)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c34	reserve		al2ayeqbxyI	data/frames/video_c34.mp4			マスター	4987	b15addda9f8fcaf6d34483924e382d14aa7e49cab3c26d24e8c11489e8b7a68e	【マスター・2ブロック】TS vs ゆが 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c35	reserve		JvvJQcL7iR4	data/frames/video_c35.mp4			マスター	7014	98a09e336b05da123a2adf2468ed3160996d37ab9352d988157e127470c76366	【マスター・1ブロック】sym vs まじぇす 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c36	reserve		GqBH999cQyU	data/frames/video_c36.mp4			マスター	7422	861bbcd99c1db401f5695683df5b05268cfd54b8a5e89791526e4cccd2c36d79	【マスター・3ブロック】タイタン vs ぷにちゃん 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c37	reserve		enHxRrKeAAs	data/frames/video_c37.mp4			マスター	6203	f30eb650e20321151194f04eb39bf967dd239a10711e4a8e0f332909aaef8b9d	【マスター・2ブロック】3 vs いさな 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c4	pilot	4	wouZ3tbIC5c	data/frames/video_c4.mp4			チャレンジャー	7484	79e31de054c4ccb5cd6c1068a768c1ad5cc1a97d69cc8ae5cc55024b4cd9ae80	【チャレンジャー・Bブロック】ヨダソウマ vs ともくん 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c40	reserve		y2L18kd4yHg	data/frames/video_c40.mp4			マスター	6433	b20d9aabfc6436ec012cd92f5ddc4962e5b6c9269725393eaa6c85dbcb18c808	【マスター・1ブロック】selva vs とりいぬ 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c41	pilot	6	QHLwBYhUppg	data/frames/video_c41.mp4			マスター	7973	58c378f17579af3e63726dd2dd985ef9de0d3062205742f7e5c58042944aac40	【マスター・4ブロック】hov vs Ponderion 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c42	pilot	1	YdMfDXC9tyM	data/frames/video_c42.mp4			マスター	6250	69b96b2ad14261451608f64725db3469ecfee913a0502d0b3bf2dc9f04f8d9ff	【マスター・1ブロック】sym vs レイン 30先(解説：ぴぽにあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c43	reserve		CxAc3ARv-kw	data/frames/video_c43.mp4			マスター	6088	c3ed1b4e382a927d7287ebd61660fc2f69be1b82af4c486c1acfedffa55f08b0	【マスター・4ブロック】hov vs syakegohan 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c44	pilot	1	iR75tB73Pps	data/frames/video_c44.mp4			マスター	7502	29f7b4731ba28f8f3137cd5ec82975042c40258e827e7481cac33c136e6518a1	【マスター・1ブロック】selva vs とりぱん 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c45	reserve		CalCkF7vmGM	data/frames/video_c45.mp4			マスター	6961	d40a1b422aec63d73d3a15aea1defa67d13a17106c16d79070018b105fc603e4	【マスター・2ブロック】:o vs MGR 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c46	pilot	2	aMS7lXLjWOY	data/frames/video_c46.mp4			マスター	5854	66241c43b3366565cd40f8b4a10139ceedb9abf47cbd03bc860ba50abafcb13b	【マスター・2ブロック】:o vs TS 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c47	reserve		UeL0qoCwIV4	data/frames/video_c47.mp4			マスター	6751	e5bb2015fd922d0b1edbb82e2c9f74552c33d4a5b724ceb4f66fe8bbe6c15f62	【マスター・4ブロック】syakegohan vs むー 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c48	reserve		8pVEmxvEQ18	data/frames/video_c48.mp4			マスター	6527	b13151de5c134ac4d9b6f2c93a1958104475a2c29c4d82151501d88caaa0f09d	【マスター・1ブロック】とりいぬ vs まじぇす 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c49	reserve		EvOgrAMBmfM	data/frames/video_c49.mp4			マスター	8678	e08f0979f498baa581772146db26119bcf7438e2aeb8f53f4921b661776c0dac	【マスター・2ブロック】いさな vs ゆが 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c5	reserve		BxP6e4i353k	data/frames/video_c5.mp4			チャレンジャー	8402	955ac40366fb874951d49416efb8f6829894c1b234d217f1ccecd17709e5f386	【チャレンジャー・Aブロック】Shiyota vs やまだ 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c50	pilot	3	DSsxaZk2ckI	data/frames/video_c50.mp4			マスター	6370	598f585d7ddde7212373aa63d6f0081ce647520636ed4b0a21996959b616c7f9	【マスター・4ブロック】Ponderion vs reoru 30先(解説：delta)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c51	pilot	5	gzDjjWFL_Qo	data/frames/video_c51.mp4			マスター	7445	4817285a404847f9d85c5fe632bbb6f1d3855ae443c570b8a502800c400a21d7	【マスター・3ブロック】light vs タイタン 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c52	reserve		g_bFvlXeJks	data/frames/video_c52.mp4			マスター	6225	e264676c4a7d0bb8320700f5e006dc71324caf30dddb095c5a755842686e32bb	【マスター・4ブロック】Ponderion vs むー 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c53	pilot	1	krlszUFRO-Y	data/frames/video_c53.mp4			マスター	6855	07d4921b6f479f4843ef1c7a4d85756cbc7226db65f9bf6fb526dc9fa6db3c79	【マスター・1ブロック】とりぱん vs まじぇす 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c54	reserve		x5q4BbkKlH0	data/frames/video_c54.mp4			マスター	7835	ec131d76463092c5b5feff69ad35d3b48baf6b41b40b8de62eb6d117a858e954	【マスター・4ブロック】hov vs reoru 30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c55	reserve		wYzxAjo-hi4	data/frames/video_c55.mp4			マスター	5951	bd49f273bad95b791cdf7fe54d538b2c6f3140a45499192280440b2f0028245b	【マスター・2ブロック】3 vs TS 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c56	pilot	5	YBKSpohPIxg	data/frames/video_c56.mp4			マスター	8056	6d733f6fd8952d376e8fcadb6e173791be6d3860a13c63fecbe3cb0c20b73ffa	【マスター・3ブロック】あん vs タイタン 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c57	pilot	2	YuF9QarQra4	data/frames/video_c57.mp4			マスター	7561	0f7730507d622e778b4cde1d98bf491fd2bc196d2879f7fa849223c257d3bad7	【マスター・1ブロック】selva vs まじぇす 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c58	pilot	2	MLQuKjTWrdw	data/frames/video_c58.mp4			マスター	10958	7651cf4e878da55a582a47a576f3e888fec2fbd754daa7b7b5b426fbe132449c	【マスター・3ブロック】SAKI vs スラさん 30先(解説：ようかん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c59	pilot	3	Y40eVLrnwE4	data/frames/video_c59.mp4			マスター	8171	3061300665791b7bdb65012b0044b4b476030f23b5d668fedc1a6ad1f5be5f32	【マスター・3ブロック】スラさん vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c6	pilot	4	la1eciFIodo	data/frames/video_c6.mp4			チャレンジャー	7540	5b71c5be1caf54befe03b138cd75dc772357a146e7094c5c41000e29923c0dfa	【チャレンジャー・Bブロック】のらすけ vs ゆうき 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c60	reserve		DuEjyy3w3CI	data/frames/video_c60.mp4			マスター	8111	e466ace289cbcd270e36c1fe248fdaf9f96029819a71df28c1ef6edefa204b3a	【マスター・3ブロック】スラさん vs タイタン 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c61	pilot	2	7GzyjbnMJYs	data/frames/video_c61.mp4			マスター	6340	4fe0110d18d24ad1d065dcba16b6e86a9dff216dc5044d797af3a3bc69f2b2e9	【マスター・3ブロック】light vs スラさん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c62	pilot	2	Ju76d7CJ46U	data/frames/video_c62.mp4			マスター	7189	5c5caa00f7428c10d5b1682975d709d2babb5bfc8efa2b6a3bc20dfa5dda0f65	【マスター・1ブロック】とりいぬ vs とりぱん 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c63	pilot	5	uvHXyP5V4-8	data/frames/video_c63.mp4			マスター	7877	3118d71392660eee4280cbba467f932955001ce97a4b9c867e0f615df8414d4a	【マスター・3ブロック】あん vs スラさん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c64	reserve		h1GpiHbFgR4	data/frames/video_c64.mp4			マスター	7141	bd810fda725dea238f824bae959ac371577d7179bb0bcd2798645dd817487550	【マスター・4ブロック】Ponderion vs syakegohan 30先(解説：delta)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c65	pilot	3	1QoAmAQsROs	data/frames/video_c65.mp4			マスター	7711	1970029bd58786c09c2808de9eedaedbdccdc54fab58684b2632f125fca89a53	【マスター・2ブロック】MGR vs ゆが 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c66	reserve		cYiFD-jlFBc	data/frames/video_c66.mp4			マスター	6512	8aa084807bdbb27c6b48449a96f2bf5c761f4d7bb27496f58c74acaa8e3961c2	【マスター・3ブロック】SAKI vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c67	reserve		lGFYrIe65ps	data/frames/video_c67.mp4			マスター	7492	c6c25b986d6aebbd5313c2d01de4a9cb67ceeecfb69bcf13c2dda0201f441c2d	【マスター・2ブロック】MGR vs TS 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c68	reserve		DBfHe3dA244	data/frames/video_c68.mp4			マスター	6661	f6c21ee6871b14a643bc003ff8283e72993d53334d9ea4829542e3ff066df136	【マスター・1ブロック】selva vs レイン 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c69	pilot	1	-mCImzUDQkQ	data/frames/video_c69.mp4			マスター	11364	36d7c13760f66a91f0b81aaf0768c443c972235eb83282d24b8ca9867d84f657	【マスター・4ブロック】reoru vs むー 30先(解説：ようかん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c7	reserve		Aqa3k4-lU7k	data/frames/video_c7.mp4			チャレンジャー	7794	ea8d5d510a5a0b206381c8a98360945800c68e93d68b760e8c869130a6916d4b	【チャレンジャー・Aブロック】ゆがるむ vs かき 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c70	reserve		z_HaEPhxdVU	data/frames/video_c70.mp4			マスター	6264	fe587eb12484d714e6ec6b913c5189f10d6a02a002c59f6260903009fec3a4fb	【マスター・2ブロック】:o vs ゆが 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c71	pilot	4	lcMK9XEFx5o	data/frames/video_c71.mp4			マスター	7390	5820fb9956df618942188faa9232f4bdb564ffdd105a17e1e95d4870dc4ea69d	【マスター・3ブロック】light vs ぷにちゃん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c72	pilot	4	CoZ-kfMhF88	data/frames/video_c72.mp4			マスター	6590	3bf7fa42a97f7554bdf26ba51f5031ffb541b10e719db1d71c520b15b7e4592b	【マスター・1ブロック】selva vs sym 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c73	reserve		HSy0Kj8HNoI	data/frames/video_c73.mp4			マスター	8490	e527b929ca7cf252af3c905c0c9bac5423504742649f6b3466bf22b47ae502eb	【マスター・2ブロック】3 vs MGR 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c74	pilot	3	QCx3EPE8yEA	data/frames/video_c74.mp4			マスター	7498	490e1fe69cde8571587bfbe54f7706b1ed933d4963d65e6805e91ee773df0bff	【マスター・1ブロック】sym vs とりぱん 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c75	reserve		mkvVJmt309A	data/frames/video_c75.mp4			マスター	7365	d201ad5cc89e4eea2443f88ab40b7e43437bc5315686adb299ce2770ebd54900	【マスター・2ブロック】MGR vs いさな 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c76	pilot	4	H9uHCNGqBqk	data/frames/video_c76.mp4			マスター	7817	1639a8bb3446deba8ac6a78ef11fe59f8206e082629c2179f93f54866db9c35c	【マスター・3ブロック】あん vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c77	pilot	5	dWchqPaeEc4	data/frames/video_c77.mp4			マスター	6390	10b788d4dfdb7ea324cfa8d5afbdc8fe3e71e81645129e82086a1d7013601d06	【マスター・1ブロック】とりぱん vs レイン 30先(解説：Shiyota)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c78	reserve		IrCNnxwWa1o	data/frames/video_c78.mp4			マスター	6534	b1b06c376d3376ea880e3ad2eda7af97cfc4d6afcb5f154bc7e984298a105f64	【マスター・4ブロック】reoru vs syakegohan 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c79	reserve		Hl2QlK8dAwo	data/frames/video_c79.mp4			マスター	8256	afb3bb09db32706de6839d75fead3595204c7987dde736eb219040e241f1743a	【マスター・2ブロック】3 vs ゆが 30先(解説：DIO)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c8	pilot	6	6C0koGRlXu0	data/frames/video_c8.mp4			チャレンジャー	7456	7bed8676cb437d3a787a161f43a595b7394a5cf3dac6e00d9c8962063e08edeb	【チャレンジャー・Aブロック】delta vs かき 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c80	pilot	4	6asLcTglLQI	data/frames/video_c80.mp4			マスター	8148	7aa5bfaa1312abcdb5c2dbdf2692691f3063f117fcf0c1b4e36d9f2d16364ec1	【マスター・2ブロック】:o vs 3 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c81	reserve		UsMva_S3LAQ	data/frames/video_c81.mp4			マスター	6725	fb1ec79fd98de4641d656acc063dd010967b6c2624c71d941affba91e6c144f5	【マスター・1ブロック】とりいぬ vs レイン 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c84	pilot	6	GDfVPnyrfwU	data/frames/video_c84.mp4			S級	7683	2bf579fd9faabff03ba58ef4e4463d767e15ca3ce777ca2310c4e815ac46a997	【S級決定戦】ゆが vs ゆうき 30先(解説：Shiyota)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c9	pilot	3	mtNoLwHSg1A	data/frames/video_c9.mp4			チャレンジャー	7184	71633343809f7b34f9367c310c1485650876b963d169722bf1e489c234cb3b30	【チャレンジャー・Bブロック】SAKI vs ぬえ 30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
